code,resume,gamme,des,qte_u,qte_reg,des,contrôle
FD03SB2D0020,933D4X16,EP100 30mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP100 10KA CD 6M 30mA,c
FD03SB2D0021,933D2X20,EP100 30mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP100 10KA CD 4M 30mA,c
FD03SB2D0022,933D4X20,EP100 30mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP100 10KA CD 6M 30mA,c
FD03SB2D0023,933D2X25,EP100 30mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP100 10KA CD 4M 30mA,c
FD03SB2D0024,933D4X25,EP100 30mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP100 10KA CD 6M 30mA,c
FD03SB2D0025,933D2X32,EP100 30mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP100 10KA CD 4M 30mA,c
FD03SB2D0026,933D4X32,EP100 30mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP100 10KA CD 6M 30mA,c
FD03SB2D0027,933D2X40,EP100 30mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP100 10KA CD 4M 30mA,c
FD03SB2D0028,933D4X40,EP100 30mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP100 10KA CD 8M 30mA,c
FD03SB2D0029,933D2X50,EP100 30mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP100 10KA CD 4M 30mA,c
FD03SB2D0030,933D4X50,EP100 30mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP100 10KA CD 8M 30mA,c
FD03SB2D0031,933D2X63,EP100 30mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP100 10KA CD 4M 30mA,c
FD03SB2D0032,933D4X63,EP100 30mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP100 10KA CD 8M 30mA,c
FD03SB3C0001,936C2X06,EP250 30mA,2X06A,1,3,Disjoncteur Diff. 2X06A EP250 25KA CC 4M 30mA,c
FD03SB3C0002,936C2X10,EP250 30mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP250 25KA CC 4M 30mA,c
FD03SB3C0003,936C4X10,EP250 30mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP250 25KA CC 6M 30mA,c
FD03SB3C0004,936C2X16,EP250 30mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP250 25KA CC 4M 30mA,c
FD03SB3C0005,936C4X16,EP250 30mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP250 25KA CC 6M 30mA,c
